RMSE,filter
{rmse_x:0.10321   rmse_Y:0.0876634  rmse_vx:0.593433  rmse_vY:0.462524  },1
{rmse_x:0.103281   rmse_Y:0.0874805  rmse_vx:0.592802  rmse_vY:0.461797  },1
{rmse_x:0.103196   rmse_Y:0.0873016  rmse_vx:0.591825  rmse_vY:0.460878  },1
{rmse_x:0.103087   rmse_Y:0.0871346  rmse_vx:0.590796  rmse_vY:0.459901  },1
{rmse_x:0.102878   rmse_Y:0.087034  rmse_vx:0.589575  rmse_vY:0.458932  },1
{rmse_x:0.102726   rmse_Y:0.0868839  rmse_vx:0.588436  rmse_vY:0.458047  },1
{rmse_x:0.102536   rmse_Y:0.0867076  rmse_vx:0.587245  rmse_vY:0.457277  },1
{rmse_x:0.102331   rmse_Y:0.0865257  rmse_vx:0.586049  rmse_vY:0.456325  },1
{rmse_x:0.102123   rmse_Y:0.0863445  rmse_vx:0.584853  rmse_vY:0.455377  },1
{rmse_x:0.102008   rmse_Y:0.086177  rmse_vx:0.583828  rmse_vY:0.4545  },1
{rmse_x:0.101796   rmse_Y:0.0859981  rmse_vx:0.582617  rmse_vY:0.45356  },1
{rmse_x:0.10162   rmse_Y:0.0858576  rmse_vx:0.581444  rmse_vY:0.452635  },1
{rmse_x:0.101414   rmse_Y:0.0857034  rmse_vx:0.580247  rmse_vY:0.451705  },1
{rmse_x:0.101295   rmse_Y:0.085553  rmse_vx:0.579346  rmse_vY:0.450841  },1
{rmse_x:0.101238   rmse_Y:0.0853923  rmse_vx:0.578506  rmse_vY:0.449958  },1
{rmse_x:0.101094   rmse_Y:0.0852499  rmse_vx:0.577387  rmse_vY:0.449042  },1
{rmse_x:0.100893   rmse_Y:0.085277  rmse_vx:0.576242  rmse_vY:0.448232  },1
{rmse_x:0.100764   rmse_Y:0.0854878  rmse_vx:0.575159  rmse_vY:0.447847  },1
{rmse_x:0.100733   rmse_Y:0.0857987  rmse_vx:0.57416  rmse_vY:0.447508  },1
{rmse_x:0.100575   rmse_Y:0.0860152  rmse_vx:0.573042  rmse_vY:0.446738  },1
{rmse_x:0.1004   rmse_Y:0.0860316  rmse_vx:0.571905  rmse_vY:0.445864  },1
{rmse_x:0.100205   rmse_Y:0.0860265  rmse_vx:0.570797  rmse_vY:0.445053  },1
{rmse_x:0.100008   rmse_Y:0.0859462  rmse_vx:0.569738  rmse_vY:0.444185  },1
{rmse_x:0.0998142   rmse_Y:0.0858636  rmse_vx:0.568616  rmse_vY:0.443313  },1
{rmse_x:0.0996394   rmse_Y:0.0856977  rmse_vx:0.567554  rmse_vY:0.442578  },1
{rmse_x:0.0994931   rmse_Y:0.0855302  rmse_vx:0.566634  rmse_vY:0.44175  },1
{rmse_x:0.0995439   rmse_Y:0.0854022  rmse_vx:0.565984  rmse_vY:0.441117  },1
{rmse_x:0.0995384   rmse_Y:0.0852601  rmse_vx:0.564983  rmse_vY:0.440522  },1
{rmse_x:0.0994324   rmse_Y:0.0850961  rmse_vx:0.5639  rmse_vY:0.439731  },1
{rmse_x:0.0993104   rmse_Y:0.0849962  rmse_vx:0.562833  rmse_vY:0.43894  },1
{rmse_x:0.0991918   rmse_Y:0.0849  rmse_vx:0.561763  rmse_vY:0.438139  },1
{rmse_x:0.099151   rmse_Y:0.0847683  rmse_vx:0.560777  rmse_vY:0.437312  },1
{rmse_x:0.0991297   rmse_Y:0.0846074  rmse_vx:0.559784  rmse_vY:0.436506  },1
{rmse_x:0.0990832   rmse_Y:0.084449  rmse_vx:0.55873  rmse_vY:0.435726  },1
{rmse_x:0.0990884   rmse_Y:0.0843321  rmse_vx:0.557684  rmse_vY:0.43509  },1
{rmse_x:0.0991156   rmse_Y:0.0841862  rmse_vx:0.556798  rmse_vY:0.43429  },1
